SAMPLING EVENT IDENTIFIER,nearest_station,y_copeton,pm10_ugm3,pm25_ugm3,so2_ugm3,co_ppm,no2_ppb,o3_ppb,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,PROTOCOL NAME,month,OBSERVATION DATE,TIME OBSERVATIONS STARTED,distance_km
S98330705,Bolivia,1,34.55851,26.1467,0.000431565,0.87054,0.01912713,0.000371773,195.0,2.0,8.0,Traveling,11,2021-11-26,07:20:00,2.6738947098168167
S98102709,Bolivia,1,34.55851,26.1467,0.000431565,0.87054,0.01912713,0.000371773,195.0,2.0,8.0,Traveling,11,2021-11-26,07:20:00,2.6738947098168167
S98114301,Bolivia,1,34.55851,26.1467,0.000431565,0.87054,0.01912713,0.000371773,195.0,2.0,8.0,Traveling,11,2021-11-26,07:20:00,2.6738947098168167
S97760328,Bolivia,1,48.76316,9.067639,0.001271919,0.39908,0.01531369,0.02737218,5.0,0.215,2.0,Traveling,11,2021-11-13,13:16:00,2.6738947098168167
S97523460,Bolivia,1,48.76316,9.067639,0.001271919,0.39908,0.01531369,0.02737218,5.0,0.215,2.0,Traveling,11,2021-11-13,13:16:00,2.6738947098168167
S97982665,Colina,1,13.03964,19.31348,0.000503129,0.694927,0.02725564,0.001895581,45.0,5.608,1.0,Traveling,11,2021-11-23,09:33:00,16.892710859240104
S97888858,Bolivia,1,35.1612,23.85974,0.000341704,0.262427,0.01352413,0.002695327,124.0,0.772,7.0,Traveling,11,2021-11-15,07:26:00,2.6738947098168167
S97888421,Bolivia,1,35.1612,23.85974,0.000341704,0.262427,0.01352413,0.002695327,124.0,0.772,7.0,Traveling,11,2021-11-15,07:26:00,2.6738947098168167
S97888408,Bolivia,1,35.1612,23.85974,0.000341704,0.262427,0.01352413,0.002695327,124.0,0.772,7.0,Traveling,11,2021-11-15,07:26:00,2.6738947098168167
S97887617,Bolivia,1,35.1612,23.85974,0.000341704,0.262427,0.01352413,0.002695327,124.0,0.772,7.0,Traveling,11,2021-11-15,07:26:00,2.6738947098168167
S98300117,Bolivia,1,18.56592,10.91732,0.000441071,0.185294,0.01281505,0.00821858,153.0,0.719,3.0,Traveling,11,2021-11-25,10:19:00,2.6738947098168167
S97787599,Usme,1,98.11111,26.60233,0.004360282,0.334342,0.01421867,0.01199819,28.0,6.217,1.0,Traveling,11,2021-11-19,07:37:00,13.85629031271696
S97294642,Usme,1,51.69868,14.23966,0.005161788,0.648782,0.01869362,0.002717561,180.0,50.0,3.0,Traveling,11,2021-11-07,07:05:00,10.000146179226777
S98607409,Usme,1,51.69868,14.23966,0.005161788,0.648782,0.01869362,0.002717561,180.0,50.0,3.0,Traveling,11,2021-11-07,07:05:00,10.000146179226777
S97787664,Usme,0,74.6969,34.83848,0.003138191,0.856199,0.02936671,0.002567516,26.0,23.835,1.0,Traveling,11,2021-11-19,07:05:00,24.90897195352125
S129286860,Colina,1,19.38976,17.51453,0.001099014,0.493095,0.01427947,0.007361877,120.0,5.0,2.0,Traveling,11,2021-11-07,07:51:00,18.914531495530984
S129304753,Colina,1,19.38976,17.51453,0.001099014,0.493095,0.01427947,0.007361877,120.0,5.0,2.0,Traveling,11,2021-11-07,07:51:00,18.914531495530984
S98323770,Usme,1,42.45395,14.15211,0.002267168,1.618469,0.03062322,0.001208556,345.0,5.0,12.0,Traveling,11,2021-11-27,06:30:00,8.62195659092983
S99721941,Colina,1,12.12558,12.99621,0.000753692,0.686677,0.01576858,0.00117876,89.0,0.587,1.0,Traveling,11,2021-11-05,06:16:00,18.914531495530984
S148415706,Usme,1,42.45395,14.15211,0.002267168,1.618469,0.03062322,0.001208556,345.0,5.0,12.0,Traveling,11,2021-11-27,06:30:00,8.62195659092983
S98327975,Usme,1,42.45395,14.15211,0.002267168,1.618469,0.03062322,0.001208556,345.0,5.0,12.0,Traveling,11,2021-11-27,06:30:00,8.62195659092983
S98325967,Usme,1,42.45395,14.15211,0.002267168,1.618469,0.03062322,0.001208556,345.0,5.0,12.0,Traveling,11,2021-11-27,06:30:00,8.62195659092983
S98350724,Usme,1,42.45395,14.15211,0.002267168,1.618469,0.03062322,0.001208556,345.0,5.0,12.0,Traveling,11,2021-11-27,06:30:00,8.62195659092983
S97631091,Bolivia,0,36.25764,21.65617,0.000434594,0.269048,0.01967898,0.001238356,198.0,2.44,8.0,Traveling,11,2021-11-15,06:19:00,2.6738947098168167
S97739557,Bolivia,0,36.25764,21.65617,0.000434594,0.269048,0.01967898,0.001238356,198.0,2.44,8.0,Traveling,11,2021-11-15,06:19:00,2.6738947098168167
S98157237,Bolivia,1,31.96592,24.43062,0.001218016,0.713904,0.02587801,0.004503397,22.0,0.521,1.0,Traveling,11,2021-11-27,17:04:00,6.656577582646622
S97686086,Usme,1,66.21775,16.89924,0.001763136,0.543518,0.01481678,0.01702959,20.0,8.077,2.0,Traveling,11,2021-11-16,12:36:00,11.517409144113092
S97305041,Usme,1,92.64301,36.06363,0.009016589,0.911692,0.02942205,0.001910132,28.0,20.975,2.0,Traveling,11,2021-11-08,08:39:00,12.618180237392748
S97686007,Usme,1,66.21775,16.89924,0.001763136,0.543518,0.01481678,0.01702959,37.0,29.554,2.0,Traveling,11,2021-11-16,12:57:00,20.362783517234146
S97696090,Usme,1,66.21775,16.89924,0.001763136,0.543518,0.01481678,0.01702959,20.0,8.077,2.0,Traveling,11,2021-11-16,12:36:00,11.517409144113092
S97696091,Usme,1,66.21775,16.89924,0.001763136,0.543518,0.01481678,0.01702959,37.0,29.554,2.0,Traveling,11,2021-11-16,12:57:00,20.362783517234146
S97426909,Usme,1,92.64301,36.06363,0.009016589,0.911692,0.02942205,0.001910132,28.0,20.975,2.0,Traveling,11,2021-11-08,08:39:00,12.618180237392748
S97787561,Usme,1,98.11111,26.60233,0.004360282,0.334342,0.01421867,0.01199819,31.0,8.887,1.0,Traveling,11,2021-11-19,08:13:00,9.696159611468582
S110478549,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S120601138,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S98952735,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S98981511,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S98939593,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S108255629,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S102685367,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S196258139,Bolivia,1,61.83863,24.24207,0.000824413,0.71991,0.0195872,0.000649242,180.0,2.0,12.0,Traveling,12,2021-12-09,07:00:00,2.6738947098168167
S99179353,Bolivia,1,62.32907,26.06183,0.008242707,0.270247,0.02207819,0.004699495,112.0,2.111,1.0,Traveling,12,2021-12-20,08:26:00,2.6738947098168167
S99041847,Bolivia,1,35.22023,9.340216,0.005973393,0.541447,0.02658079,0.001154708,293.0,2.0,2.0,Traveling,12,2021-12-18,06:40:00,2.6738947098168167
S98807500,Bolivia,1,31.82355,12.82131,0.000249775,0.420854,0.01642671,0.005544539,90.0,1.48,3.0,Traveling,12,2021-12-11,08:36:00,2.6738947098168167
S98795793,Bolivia,1,31.82355,12.82131,0.000249775,0.420854,0.01642671,0.005544539,90.0,1.48,3.0,Traveling,12,2021-12-11,08:36:00,2.6738947098168167
S110195103,Bolivia,1,50.51323,24.49177,-0.00079211,0.321312,0.009242344,0.00345453,126.0,2.0,1.0,Traveling,12,2021-12-01,07:44:00,2.6738947098168167
S122711346,Bolivia,1,24.94888,11.02114,0.000344998,0.167713,0.009504506,0.01139176,135.0,4.828,4.0,Traveling,12,2021-12-10,09:10:00,2.6738947098168167
S99011698,Bolivia,1,19.91739,6.432625,0.00107999,0.182585,0.01726898,0.01298753,122.0,1.81,2.0,Traveling,12,2021-12-17,12:14:00,2.6738947098168167
S98398747,Bolivia,1,50.51323,24.49177,-0.00079211,0.321312,0.009242344,0.00345453,126.0,2.0,1.0,Traveling,12,2021-12-01,07:44:00,2.6738947098168167
S98477406,Bolivia,1,52.23042,16.65247,0.00369982,0.807958,0.01853,0.001525238,169.0,3.491,1.0,Traveling,12,2021-12-03,07:09:00,2.6738947098168167
S98334399,Bolivia,1,50.51323,24.49177,-0.00079211,0.321312,0.009242344,0.00345453,126.0,2.0,1.0,Traveling,12,2021-12-01,07:44:00,2.6738947098168167
S98636960,Bolivia,1,43.0537,17.97604,0.002384454,0.467914,0.01746216,0.001407096,218.0,2.024,1.0,Traveling,12,2021-12-05,06:24:00,2.6738947098168167
S98468088,Bolivia,1,50.51323,24.49177,-0.00079211,0.321312,0.009242344,0.00345453,126.0,2.0,1.0,Traveling,12,2021-12-01,07:44:00,2.6738947098168167
S99067027,Bolivia,1,35.22023,9.340216,0.005973393,0.541447,0.02658079,0.001154708,293.0,2.0,2.0,Traveling,12,2021-12-18,06:40:00,2.6738947098168167
S98781361,Bolivia,1,31.82355,12.82131,0.000249775,0.420854,0.01642671,0.005544539,90.0,1.48,3.0,Traveling,12,2021-12-11,08:36:00,2.6738947098168167
S98788140,Bolivia,1,59.12388,17.7924,0.000702997,1.527264,0.01619355,0.000204954,156.0,13.017,2.0,Traveling,12,2021-12-12,06:29:00,2.6738947098168167
S101353236,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99163445,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S100502712,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99207253,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99206723,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,7.902680406337224
S99217335,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99628002,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99212781,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,565.0,4.101,10.0,Traveling,12,2021-12-18,04:53:00,8.956029254552595
S99164480,Colina,1,7.808814,4.622782,0.000674302,0.470721,0.01563509,0.001676005,521.0,4.101,10.0,Traveling,12,2021-12-18,04:58:00,8.956029254552595
S98918921,Colina,1,27.79843,21.22395,0.002102117,0.728968,0.0172211,0.002617331,180.0,2.0,1.0,Traveling,12,2021-12-15,07:00:00,12.85846854603453
S99461945,Colina,0,29.64352,14.49194,0.000971617,0.352672,0.01498934,0.01503713,10.0,0.082,1.0,Traveling,12,2021-12-22,12:36:00,16.350257484565507
S98769094,Usme,1,33.29901,17.30368,0.002579237,0.325926,0.01358656,0.03669637,90.0,1.5,2.0,Traveling,12,2021-12-11,13:50:00,17.148670500293335
S99228297,Bolivia,1,30.33411,10.0737,0.002483814,0.207528,0.02160486,0.006099974,58.0,1.366,4.0,Traveling,12,2021-12-18,10:35:00,2.5602050470831275
S99227324,Bolivia,1,30.33411,10.0737,0.002483814,0.207528,0.02160486,0.006099974,58.0,1.366,4.0,Traveling,12,2021-12-18,10:35:00,2.5602050470831275
S98729909,Colina,1,15.37914,9.415115,0.000733793,0.404848,0.01470288,0.007391601,35.0,0.6,3.0,Traveling,12,2021-12-10,07:42:00,18.436586217730177
S98718873,Colina,1,15.37914,9.415115,0.000733793,0.404848,0.01470288,0.007391601,35.0,0.6,3.0,Traveling,12,2021-12-10,07:42:00,18.436586217730177
S98719169,Colina,1,15.37914,9.415115,0.000733793,0.404848,0.01470288,0.007391601,35.0,0.6,3.0,Traveling,12,2021-12-10,07:42:00,18.436586217730177
S98509242,Colina,0,29.47312,16.42668,0.000708577,0.273288,0.0112463,0.009922265,91.0,2.244,8.0,Traveling,12,2021-12-05,11:47:00,18.313041142103497
S98509239,Colina,0,29.47312,16.42668,0.000708577,0.273288,0.0112463,0.009922265,91.0,2.244,8.0,Traveling,12,2021-12-05,11:47:00,18.313041142103497
S98509241,Colina,0,29.47312,16.42668,0.000708577,0.273288,0.0112463,0.009922265,91.0,2.244,8.0,Traveling,12,2021-12-05,11:47:00,18.313041142103497
S98509240,Colina,0,29.47312,16.42668,0.000708577,0.273288,0.0112463,0.009922265,91.0,2.244,8.0,Traveling,12,2021-12-05,11:47:00,18.313041142103497
S98509238,Colina,0,29.47312,16.42668,0.000708577,0.273288,0.0112463,0.009922265,91.0,2.244,8.0,Traveling,12,2021-12-05,11:47:00,18.313041142103497
S98964806,Colina,0,14.1158,6.751622,0.000879671,0.397603,0.01449479,0.005975741,90.0,4.0,1.0,Traveling,12,2021-12-16,09:00:00,12.128890552447126
S99025585,Bolivia,0,30.64571,11.11715,0.005922369,0.601328,0.01966573,0.000197812,22.0,0.723,1.0,Traveling,12,2021-12-18,06:15:00,2.6738947098168167
S100814527,Bolivia,1,26.9023,8.32838,0.000283147,0.081733,0.006049973,0.02283927,207.0,1.705,4.0,Traveling,1,2022-01-15,12:28:00,2.6738947098168167
S101794475,Bolivia,1,49.60332,19.86469,0.000942879,2.148066,0.02594433,0.000153656,66.0,0.48,3.0,Traveling,1,2022-01-31,06:28:00,2.6738947098168167
S100814620,Bolivia,1,22.41279,5.431941,0.000216933,0.094892,0.006255342,0.02226052,423.0,0.604,4.0,Traveling,1,2022-01-15,13:21:00,2.6738947098168167
S100940869,Bolivia,1,56.28094,29.10393,0.00556191,0.73756,0.02089166,0.00149412,179.0,0.785,3.0,Traveling,1,2022-01-17,07:08:00,2.6738947098168167
S100943885,Bolivia,1,56.28094,29.10393,0.00556191,0.73756,0.02089166,0.00149412,179.0,0.785,3.0,Traveling,1,2022-01-17,07:08:00,2.6738947098168167
S101195990,Bolivia,1,52.71061,19.07397,0.01744944,0.636795,0.02375669,0.00240631,104.0,0.796,2.0,Traveling,1,2022-01-22,07:33:00,2.6738947098168167
S101883002,Bolivia,1,49.60332,19.86469,0.000942879,2.148066,0.02594433,0.000153656,66.0,0.48,3.0,Traveling,1,2022-01-31,06:28:00,2.6738947098168167
S100919455,Bolivia,1,56.28094,29.10393,0.00556191,0.73756,0.02089166,0.00149412,179.0,0.785,3.0,Traveling,1,2022-01-17,07:08:00,2.6738947098168167
S101513735,Bolivia,1,61.43713,29.2356,0.001839151,0.724539,0.02235687,0.006006941,154.0,0.5,3.0,Traveling,1,2022-01-24,08:06:00,2.6738947098168167
S102458905,Bolivia,1,61.43713,29.2356,0.001839151,0.724539,0.02235687,0.006006941,154.0,0.5,3.0,Traveling,1,2022-01-24,08:06:00,2.6738947098168167
S101451021,Bolivia,1,61.43713,29.2356,0.001839151,0.724539,0.02235687,0.006006941,154.0,0.5,3.0,Traveling,1,2022-01-24,08:06:00,2.6738947098168167
S101395354,Bolivia,1,61.43713,29.2356,0.001839151,0.724539,0.02235687,0.006006941,154.0,0.5,3.0,Traveling,1,2022-01-24,08:06:00,2.6738947098168167
S150194259,Colina,1,28.13086,15.04274,0.001392631,0.420634,0.01576038,0.01193643,81.0,0.974,3.0,Traveling,1,2022-01-09,09:23:00,18.914531495530984
S100456528,Colina,1,28.13086,15.04274,0.001392631,0.420634,0.01576038,0.01193643,81.0,0.974,3.0,Traveling,1,2022-01-09,09:23:00,18.914531495530984
S100991489,Colina,1,28.13086,15.04274,0.001392631,0.420634,0.01576038,0.01193643,81.0,0.974,3.0,Traveling,1,2022-01-09,09:23:00,18.914531495530984
S100456688,Colina,1,17.86372,12.96626,0.000847509,0.362462,0.01288455,0.01618447,85.0,1.09,1.0,Traveling,1,2022-01-09,10:45:00,18.914531495530984
S101382834,Bolivia,1,17.41037,9.382474,0.00105074,0.326876,0.01289159,0.02542712,93.0,7.99,7.0,Traveling,1,2022-01-23,12:55:00,2.6738947098168167
S101322544,Fontibon,1,53.64045,29.05056,0.002348648,0.923982,0.00979657,0.04289681,30.0,0.1,1.0,Traveling,1,2022-01-22,16:00:00,4.975745931068278
S100962745,Fontibon,0,35.04494,34.99438,0.001575479,0.368272,0.01062401,0.03094897,30.0,0.1,1.0,Traveling,1,2022-01-17,15:30:00,4.975745931068278
S100143735,Colina,1,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,19.0,5.074,10.0,Traveling,1,2022-01-03,06:44:00,13.947726525488354
S101709515,Bolivia,0,30.98395,15.91216,0.01004136,0.321581,0.02935934,0.001011783,90.0,1.27,1.0,Traveling,1,2022-01-30,06:28:00,6.758640213736002
S100782978,Colina,0,22.22576,20.71039,0.000790334,0.411177,0.01423888,0.01486518,31.0,0.261,1.0,Traveling,1,2022-01-03,11:34:00,7.812238118246803
S100062985,Colina,0,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,22.0,6.771,10.0,Traveling,1,2022-01-03,06:50:00,14.927726319439534
S100057755,Colina,0,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,22.0,6.771,10.0,Traveling,1,2022-01-03,06:50:00,14.927726319439534
S110331604,Colina,0,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,22.0,6.771,10.0,Traveling,1,2022-01-03,06:50:00,14.927726319439534
S100632646,Colina,0,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,22.0,6.771,10.0,Traveling,1,2022-01-03,06:50:00,14.927726319439534
S100143835,Colina,1,16.65601,7.139482,0.000983721,0.730177,0.01961045,0.003603924,8.0,3.081,10.0,Traveling,1,2022-01-03,07:06:00,18.44713020495735
S107616653,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,145.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S102314291,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,146.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S101970710,Bolivia,1,55.21112,27.28568,0.005366167,0.550122,0.03488224,0.004666418,150.0,2.929,2.0,Traveling,2,2022-02-02,07:20:00,2.6738947098168167
S102032821,Bolivia,1,104.2865,46.35046,0.008236182,0.819932,0.02127909,0.000131763,90.0,2.0,2.0,Traveling,2,2022-02-04,07:00:00,2.6738947098168167
S102092545,Bolivia,1,40.71774,29.59598,0.000970623,0.882893,0.02164847,-0.001041353,104.0,1.256,2.0,Traveling,2,2022-02-05,06:26:00,2.6738947098168167
S102630274,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,146.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S105262261,Bolivia,1,104.2865,46.35046,0.008236182,0.819932,0.02127909,0.000131763,90.0,2.0,2.0,Traveling,2,2022-02-04,07:00:00,2.6738947098168167
S102151086,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,145.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S102966682,Bolivia,1,65.26226,33.73281,0.004498623,0.785664,0.02627138,0.001051615,359.0,1.85,2.0,Traveling,2,2022-02-18,06:12:00,2.5602050470831275
S102188867,Bolivia,1,23.55151,10.93902,0.001000344,0.389474,0.01479413,0.006139624,150.0,0.023,16.0,Traveling,2,2022-02-06,08:07:00,2.6738947098168167
S144647248,Bolivia,1,25.70773,18.00084,0.000976288,0.339738,0.01834166,0.01060181,140.0,1.5,5.0,Traveling,2,2022-02-25,11:01:00,2.6738947098168167
S102700596,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,146.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S102886463,Bolivia,1,65.26226,33.73281,0.004498623,0.785664,0.02627138,0.001051615,359.0,1.85,2.0,Traveling,2,2022-02-18,06:12:00,2.5602050470831275
S104058954,Bolivia,1,25.70773,18.00084,0.000976288,0.339738,0.01834166,0.01060181,140.0,1.5,5.0,Traveling,2,2022-02-25,11:01:00,2.6738947098168167
S103454005,Bolivia,0,59.44766,18.66828,0.000968587,0.249483,0.01601467,0.01057032,90.0,3.0,2.0,Traveling,2,2022-02-21,16:03:00,2.6738947098168167
S102485427,Bolivia,1,60.19544,24.18066,0.001207198,0.361476,0.01761241,0.01058632,107.0,1.01,1.0,Traveling,2,2022-02-12,07:48:00,2.6738947098168167
S102098890,Bolivia,1,40.71774,29.59598,0.000970623,0.882893,0.02164847,-0.001041353,104.0,1.256,2.0,Traveling,2,2022-02-05,06:26:00,2.6738947098168167
S101893321,Bolivia,1,55.21112,27.28568,0.005366167,0.550122,0.03488224,0.004666418,150.0,2.929,2.0,Traveling,2,2022-02-02,07:20:00,2.6738947098168167
S103705937,Bolivia,1,25.70773,18.00084,0.000976288,0.339738,0.01834166,0.01060181,140.0,1.5,5.0,Traveling,2,2022-02-25,11:01:00,2.6738947098168167
S103371602,Bolivia,1,38.23554,18.80388,0.002181601,1.715039,0.02457463,-3.4657e-05,60.0,0.129,2.0,Traveling,2,2022-02-21,06:25:00,2.6738947098168167
S102129548,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,146.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S103348995,Bolivia,1,38.23554,18.80388,0.002181601,1.715039,0.02457463,-3.4657e-05,60.0,0.129,2.0,Traveling,2,2022-02-21,06:25:00,2.6738947098168167
S102137061,Bolivia,1,24.1537,15.24688,0.000562673,0.472689,0.01695357,0.001196449,145.0,0.71,16.0,Traveling,2,2022-02-06,07:27:00,2.6738947098168167
S103696670,Bolivia,1,25.70773,18.00084,0.000976288,0.339738,0.01834166,0.01060181,140.0,1.5,5.0,Traveling,2,2022-02-25,11:01:00,2.6738947098168167
S102265297,Bolivia,1,48.48463,33.35813,0.000900595,0.875459,0.02114832,-0.001010133,260.0,1.1,3.0,Traveling,2,2022-02-05,06:40:00,2.005740896383157
S102089749,Bolivia,1,48.48463,33.35813,0.000900595,0.875459,0.02114832,-0.001010133,260.0,1.1,3.0,Traveling,2,2022-02-05,06:40:00,2.005740896383157
S102088368,Bolivia,1,48.48463,33.35813,0.000900595,0.875459,0.02114832,-0.001010133,260.0,1.1,3.0,Traveling,2,2022-02-05,06:40:00,2.6738947098168167
S207890436,Bolivia,1,38.79932,19.76534,0.002189956,0.274554,0.02245791,0.01052155,129.0,0.067,2.0,Traveling,2,2022-02-22,08:48:00,2.6738947098168167
S105834386,Ciudad Bolivar,1,23.44239,16.6151,0.001403,0.202497,0.006481476,0.02889304,119.0,0.175,1.0,Traveling,2,2022-02-13,07:15:00,22.662278303623697
S104133156,Fontibon,1,80.03933,33.07303,0.005871041,1.204121,0.0392521,0.001031267,124.0,2.93,2.0,Traveling,2,2022-02-11,07:43:00,6.323305886388888
S104135072,Fontibon,1,80.03933,33.07303,0.005871041,1.204121,0.0392521,0.001031267,124.0,2.93,2.0,Traveling,2,2022-02-11,07:43:00,6.323305886388888
S102248958,Ciudad Bolivar,1,57.07333,23.15957,0.003778943,0.683028,0.0179485,0.02421704,15.0,0.167,1.0,Traveling,2,2022-02-05,10:21:00,18.932781227663167
S106887792,Bolivia,1,27.01118,12.87498,0.001285606,0.538403,0.03232411,0.003723921,75.0,2.43,5.0,Traveling,3,2022-03-31,08:06:00,2.6738947098168167
S105093580,Bolivia,1,25.97224,5.983541,0.001224171,0.244661,0.01442432,0.02477195,102.0,0.483,3.0,Traveling,3,2022-03-18,14:38:00,2.6738947098168167
S107526950,Bolivia,1,27.01118,12.87498,0.001285606,0.538403,0.03232411,0.003723921,75.0,2.43,5.0,Traveling,3,2022-03-31,08:06:00,2.6738947098168167
S104995449,Bolivia,1,9.353022,10.74282,0.001304695,0.223157,0.0184283,0.007651999,60.0,0.181,2.0,Traveling,3,2022-03-02,15:08:00,2.6738947098168167
S132030196,Bolivia,1,37.94474,21.31976,0.000980974,0.256686,0.01054128,0.01317848,90.0,1.609,3.0,Traveling,3,2022-03-21,16:30:00,2.6738947098168167
S107058984,Bolivia,1,27.01118,12.87498,0.001285606,0.538403,0.03232411,0.003723921,75.0,2.43,5.0,Traveling,3,2022-03-31,08:06:00,2.6738947098168167
S109260646,Bolivia,1,27.01118,12.87498,0.001285606,0.538403,0.03232411,0.003723921,75.0,2.43,5.0,Traveling,3,2022-03-31,08:06:00,2.6738947098168167
S104608887,Bolivia,1,55.46799,28.79625,0.003484494,0.554746,0.02201149,0.007730683,180.0,11.548,3.0,Traveling,3,2022-03-11,07:44:00,2.6738947098168167
S105120496,Bolivia,1,25.97224,5.983541,0.001224171,0.244661,0.01442432,0.02477195,102.0,0.483,3.0,Traveling,3,2022-03-18,14:38:00,2.6738947098168167
S106936389,Bolivia,1,27.01118,12.87498,0.001285606,0.538403,0.03232411,0.003723921,75.0,2.43,5.0,Traveling,3,2022-03-31,08:06:00,2.6738947098168167
S106379452,Bolivia,1,37.94474,21.31976,0.000980974,0.256686,0.01054128,0.01317848,90.0,1.609,3.0,Traveling,3,2022-03-21,16:30:00,2.6738947098168167
S104195895,Bolivia,1,32.16363,12.80558,0.00155874,0.384025,0.02538115,0.001930091,111.0,0.805,2.0,Traveling,3,2022-03-05,06:17:00,2.6738947098168167
S129426983,Bolivia,1,55.46799,28.79625,0.003484494,0.554746,0.02201149,0.007730683,180.0,11.548,3.0,Traveling,3,2022-03-11,07:44:00,2.6738947098168167
S104301566,Bolivia,1,34.37281,12.06185,0.000734567,0.437862,0.01410786,0.005000607,240.0,2.0,2.0,Traveling,3,2022-03-06,07:00:00,2.6738947098168167
S104059190,Bolivia,1,9.353022,10.74282,0.001304695,0.223157,0.0184283,0.007651999,60.0,0.181,2.0,Traveling,3,2022-03-02,15:08:00,2.6738947098168167
S104057999,Bolivia,1,9.353022,10.74282,0.001304695,0.223157,0.0184283,0.007651999,60.0,0.181,2.0,Traveling,3,2022-03-02,15:08:00,2.6738947098168167
S105858684,Bolivia,1,17.76067,13.74662,0.000917132,0.336789,0.01307172,0.01191497,130.0,1.0,8.0,Traveling,3,2022-03-06,08:50:00,2.6738947098168167
S105313117,Bolivia,1,17.76067,13.74662,0.000917132,0.336789,0.01307172,0.01191497,130.0,1.0,8.0,Traveling,3,2022-03-06,08:50:00,2.6738947098168167
S105583777,Bolivia,1,17.76067,13.74662,0.000917132,0.336789,0.01307172,0.01191497,130.0,1.0,8.0,Traveling,3,2022-03-06,08:50:00,2.6738947098168167
S112034109,Bolivia,1,17.76067,13.74662,0.000917132,0.336789,0.01307172,0.01191497,130.0,1.0,8.0,Traveling,3,2022-03-06,08:50:00,2.6738947098168167
S105340844,Bolivia,1,17.76067,13.74662,0.000917132,0.336789,0.01307172,0.01191497,130.0,1.0,8.0,Traveling,3,2022-03-06,08:50:00,2.6738947098168167
