SAMPLING EVENT IDENTIFIER,SCIENTIFIC NAME,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,PROTOCOL NAME,PROTOCOL CODE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,matched_hour,nearest_station,distance_km,co_ppm,no2_ppb,o3_ppb,pm10_ugm3,pm25_ugm3,so2_ugm3
S102088368,Cathartes burrovianus,Lesser Yellow-headed Vulture,1,4.7302826,-74.1493195,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.6738947098168167,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S144647248,Cathartes burrovianus,Lesser Yellow-headed Vulture,1,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102265297,Cathartes burrovianus,Lesser Yellow-headed Vulture,1,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S103705937,Cathartes burrovianus,Lesser Yellow-headed Vulture,1,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102485427,Nomonyx dominicus,Masked Duck,1,4.7302826,-74.1493195,2022-02-12,07:48:00,Traveling,P22,107.0,1.01,1.0,1,8,Bolivia,2.6738947098168167,0.361476,0.01761241,0.01058632,60.19544,24.18066,0.001207198
S102088368,Nomonyx dominicus,Masked Duck,1,4.7302826,-74.1493195,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.6738947098168167,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S102089749,Nomonyx dominicus,Masked Duck,1,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S102265297,Nomonyx dominicus,Masked Duck,1,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S103454005,Nomonyx dominicus,Masked Duck,1,4.7302826,-74.1493195,2022-02-21,16:03:00,Traveling,P22,90.0,3.0,2.0,1,16,Bolivia,2.6738947098168167,0.249483,0.01601467,0.01057032,59.44766,18.66828,0.000968587
S103130542,Diglossa cyanea,Masked Flowerpiercer,2,4.6643333,-73.9643611,2022-02-19,15:00:00,Traveling,P22,150.0,1.0,7.0,1,15,MinAmbiente,12.20059278950444,,,0.03452917,50.63317,20.0,
S112588896,Diglossa cyanea,Masked Flowerpiercer,2,4.6643333,-73.9643611,2022-02-19,15:00:00,Traveling,P22,150.0,1.0,7.0,1,15,MinAmbiente,12.20059278950444,,,0.03452917,50.63317,20.0,
S104680667,Diglossa cyanea,Masked Flowerpiercer,2,4.6643333,-73.9643611,2022-02-19,15:00:00,Traveling,P22,150.0,1.0,7.0,1,15,MinAmbiente,12.20059278950444,,,0.03452917,50.63317,20.0,
S105834386,Diglossa cyanea,Masked Flowerpiercer,1,4.4222699,-74.2983887,2022-02-13,07:15:00,Traveling,P22,119.0,0.175,1.0,1,7,Ciudad Bolivar,22.662278303623697,0.202497,0.006481476,0.02889304,23.44239,16.6151,0.001403
S101863446,Diglossa cyanea,Masked Flowerpiercer,1,4.6643333,-73.9643611,2022-02-01,14:58:00,Stationary,P21,60.0,,2.0,1,15,MinAmbiente,12.20059278950444,,,0.03947118,54.89696,32.0,
S101863447,Diglossa cyanea,Masked Flowerpiercer,1,4.6643333,-73.9643611,2022-02-01,14:58:00,Stationary,P21,60.0,,2.0,1,15,MinAmbiente,12.20059278950444,,,0.03947118,54.89696,32.0,
S103317908,Diglossa cyanea,Masked Flowerpiercer,2,4.6643333,-73.9643611,2022-02-19,15:00:00,Traveling,P22,150.0,1.0,7.0,1,15,MinAmbiente,12.20059278950444,,,0.03452917,50.63317,20.0,
S101929075,Diglossa cyanea,Masked Flowerpiercer,1,4.499989,-73.9353454,2022-02-02,12:45:00,Traveling,P22,78.0,1.36,1.0,1,13,San Cristobal,18.304921914034676,0.246653,,0.02857803,23.0,12.0,
S105834386,Scytalopus griseicollis,Pale-bellied Tapaculo,1,4.4222699,-74.2983887,2022-02-13,07:15:00,Traveling,P22,119.0,0.175,1.0,1,7,Ciudad Bolivar,22.662278303623697,0.202497,0.006481476,0.02889304,23.44239,16.6151,0.001403
S102314291,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102129548,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102151086,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102188867,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,08:07:00,Traveling,P22,150.0,0.023,16.0,1,8,Bolivia,2.6738947098168167,0.389474,0.01479413,0.006139624,23.55151,10.93902,0.001000344
S107616653,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S104133156,Falco columbarius,Merlin,1,4.702867,-74.19525,2022-02-11,07:43:00,Traveling,P22,124.0,2.93,2.0,1,8,Fontibon,6.323305886388888,1.204121,0.0392521,0.001031267,80.03933,33.07303,0.005871041
S102700596,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S103957191,Falco columbarius,Merlin,1,4.6653104,-73.9904308,2022-02-28,11:30:00,Incidental,P20,,,1.0,0,12,MinAmbiente,9.605716587892372,,,0.008643314,33.29063,32.0,
S104135072,Falco columbarius,Merlin,1,4.702867,-74.19525,2022-02-11,07:43:00,Traveling,P22,124.0,2.93,2.0,1,8,Fontibon,6.323305886388888,1.204121,0.0392521,0.001031267,80.03933,33.07303,0.005871041
S102886463,Falco columbarius,Merlin,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102137061,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102966682,Falco columbarius,Merlin,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102630274,Falco columbarius,Merlin,1,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S103537913,Cacicus chrysonotus,Mountain Cacique,2,4.6653104,-73.9904308,2022-02-22,09:00:00,Stationary,P21,30.0,,1.0,1,9,MinAmbiente,9.605716587892372,,,0.01996575,38.31775,33.0,
S103454005,Cacicus chrysonotus,Mountain Cacique,1,4.7302826,-74.1493195,2022-02-21,16:03:00,Traveling,P22,90.0,3.0,2.0,1,16,Bolivia,2.6738947098168167,0.249483,0.01601467,0.01057032,59.44766,18.66828,0.000968587
S207890436,Elaenia frantzii,Mountain Elaenia,1,4.7302826,-74.1493195,2022-02-22,08:48:00,Traveling,P22,129.0,0.067,2.0,1,9,Bolivia,2.6738947098168167,0.274554,0.02245791,0.01052155,38.79932,19.76534,0.002189956
S103117003,Elaenia frantzii,Mountain Elaenia,2,4.7302826,-74.1493195,2022-02-19,11:20:00,Stationary,P21,240.0,,1.0,1,11,Bolivia,2.6738947098168167,0.281376,0.01393155,0.01441088,23.70491,12.386,0.000450435
S105834386,Elaenia frantzii,Mountain Elaenia,1,4.4222699,-74.2983887,2022-02-13,07:15:00,Traveling,P22,119.0,0.175,1.0,1,7,Ciudad Bolivar,22.662278303623697,0.202497,0.006481476,0.02889304,23.44239,16.6151,0.001403
S102188867,Elaenia frantzii,Mountain Elaenia,1,4.7302826,-74.1493195,2022-02-06,08:07:00,Traveling,P22,150.0,0.023,16.0,1,8,Bolivia,2.6738947098168167,0.389474,0.01479413,0.006139624,23.55151,10.93902,0.001000344
S102886463,Elaenia frantzii,Mountain Elaenia,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S103348995,Elaenia frantzii,Mountain Elaenia,2,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S103371602,Elaenia frantzii,Mountain Elaenia,2,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S102485427,Elaenia frantzii,Mountain Elaenia,1,4.7302826,-74.1493195,2022-02-12,07:48:00,Traveling,P22,107.0,1.01,1.0,1,8,Bolivia,2.6738947098168167,0.361476,0.01761241,0.01058632,60.19544,24.18066,0.001207198
S102966682,Elaenia frantzii,Mountain Elaenia,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S101929075,Cairina moschata,Muscovy Duck,8,4.499989,-73.9353454,2022-02-02,12:45:00,Traveling,P22,78.0,1.36,1.0,1,13,San Cristobal,18.304921914034676,0.246653,,0.02857803,23.0,12.0,
S101893321,Nannopterum brasilianum,Neotropic Cormorant,1,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S102700596,Nannopterum brasilianum,Neotropic Cormorant,3,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102129548,Nannopterum brasilianum,Neotropic Cormorant,3,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S107616653,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102630274,Nannopterum brasilianum,Neotropic Cormorant,3,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102151086,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S104058954,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102314291,Nannopterum brasilianum,Neotropic Cormorant,3,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102248958,Nannopterum brasilianum,Neotropic Cormorant,1,4.440575,-74.26738,2022-02-05,10:21:00,Traveling,P22,15.0,0.167,1.0,1,10,Ciudad Bolivar,18.932781227663167,0.683028,0.0179485,0.02421704,57.07333,23.15957,0.003778943
S101970710,Nannopterum brasilianum,Neotropic Cormorant,1,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S103454005,Nannopterum brasilianum,Neotropic Cormorant,X,4.7302826,-74.1493195,2022-02-21,16:03:00,Traveling,P22,90.0,3.0,2.0,1,16,Bolivia,2.6738947098168167,0.249483,0.01601467,0.01057032,59.44766,18.66828,0.000968587
S103705937,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102966682,Nannopterum brasilianum,Neotropic Cormorant,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S207890436,Nannopterum brasilianum,Neotropic Cormorant,5,4.7302826,-74.1493195,2022-02-22,08:48:00,Traveling,P22,129.0,0.067,2.0,1,9,Bolivia,2.6738947098168167,0.274554,0.02245791,0.01052155,38.79932,19.76534,0.002189956
S102137061,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102485427,Nannopterum brasilianum,Neotropic Cormorant,1,4.7302826,-74.1493195,2022-02-12,07:48:00,Traveling,P22,107.0,1.01,1.0,1,8,Bolivia,2.6738947098168167,0.361476,0.01761241,0.01058632,60.19544,24.18066,0.001207198
S144647248,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S103371602,Nannopterum brasilianum,Neotropic Cormorant,2,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S103348995,Nannopterum brasilianum,Neotropic Cormorant,2,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S103696670,Nannopterum brasilianum,Neotropic Cormorant,4,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102886463,Nannopterum brasilianum,Neotropic Cormorant,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102485427,Gallinago nobilis,Noble Snipe,1,4.7302826,-74.1493195,2022-02-12,07:48:00,Traveling,P22,107.0,1.01,1.0,1,8,Bolivia,2.6738947098168167,0.361476,0.01761241,0.01058632,60.19544,24.18066,0.001207198
S102089749,Parkesia noveboracensis,Northern Waterthrush,2,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S103371602,Parkesia noveboracensis,Northern Waterthrush,1,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S102265297,Parkesia noveboracensis,Northern Waterthrush,2,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S102088368,Parkesia noveboracensis,Northern Waterthrush,2,4.7302826,-74.1493195,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.6738947098168167,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S207890436,Parkesia noveboracensis,Northern Waterthrush,1,4.7302826,-74.1493195,2022-02-22,08:48:00,Traveling,P22,129.0,0.067,2.0,1,9,Bolivia,2.6738947098168167,0.274554,0.02245791,0.01052155,38.79932,19.76534,0.002189956
S103348995,Parkesia noveboracensis,Northern Waterthrush,1,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S101893321,Pandion haliaetus,Osprey,1,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S102886463,Pandion haliaetus,Osprey,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S101970710,Pandion haliaetus,Osprey,1,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S102966682,Pandion haliaetus,Osprey,1,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S207890436,Pandion haliaetus,Osprey,1,4.7302826,-74.1493195,2022-02-22,08:48:00,Traveling,P22,129.0,0.067,2.0,1,9,Bolivia,2.6738947098168167,0.274554,0.02245791,0.01052155,38.79932,19.76534,0.002189956
S102966682,Thraupis palmarum,Palm Tanager,2,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102886463,Thraupis palmarum,Palm Tanager,2,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S103696670,Falco peregrinus,Peregrine Falcon,1,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S144647248,Falco peregrinus,Peregrine Falcon,1,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S104058954,Falco peregrinus,Peregrine Falcon,1,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S101970710,Podilymbus podiceps,Pied-billed Grebe,10,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S102032821,Podilymbus podiceps,Pied-billed Grebe,2,4.7302826,-74.1493195,2022-02-04,07:00:00,Traveling,P22,90.0,2.0,2.0,1,7,Bolivia,2.6738947098168167,0.819932,0.02127909,0.000131763,104.2865,46.35046,0.008236182
S103454005,Podilymbus podiceps,Pied-billed Grebe,2,4.7302826,-74.1493195,2022-02-21,16:03:00,Traveling,P22,90.0,3.0,2.0,1,16,Bolivia,2.6738947098168167,0.249483,0.01601467,0.01057032,59.44766,18.66828,0.000968587
S102098890,Podilymbus podiceps,Pied-billed Grebe,4,4.7302826,-74.1493195,2022-02-05,06:26:00,Traveling,P22,104.0,1.256,2.0,1,6,Bolivia,2.6738947098168167,0.882893,0.02164847,-0.001041353,40.71774,29.59598,0.000970623
S102630274,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102089749,Podilymbus podiceps,Pied-billed Grebe,20,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S102092545,Podilymbus podiceps,Pied-billed Grebe,4,4.7302826,-74.1493195,2022-02-05,06:26:00,Traveling,P22,104.0,1.256,2.0,1,6,Bolivia,2.6738947098168167,0.882893,0.02164847,-0.001041353,40.71774,29.59598,0.000970623
S101893321,Podilymbus podiceps,Pied-billed Grebe,10,4.7302826,-74.1493195,2022-02-02,07:20:00,Traveling,P22,150.0,2.929,2.0,1,7,Bolivia,2.6738947098168167,0.550122,0.03488224,0.004666418,55.21112,27.28568,0.005366167
S103348995,Podilymbus podiceps,Pied-billed Grebe,4,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S104058954,Podilymbus podiceps,Pied-billed Grebe,12,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102700596,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102188867,Podilymbus podiceps,Pied-billed Grebe,3,4.7302826,-74.1493195,2022-02-06,08:07:00,Traveling,P22,150.0,0.023,16.0,1,8,Bolivia,2.6738947098168167,0.389474,0.01479413,0.006139624,23.55151,10.93902,0.001000344
S102088368,Podilymbus podiceps,Pied-billed Grebe,20,4.7302826,-74.1493195,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.6738947098168167,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S102129548,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S144647248,Podilymbus podiceps,Pied-billed Grebe,12,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S101929075,Podilymbus podiceps,Pied-billed Grebe,5,4.499989,-73.9353454,2022-02-02,12:45:00,Traveling,P22,78.0,1.36,1.0,1,13,San Cristobal,18.304921914034676,0.246653,,0.02857803,23.0,12.0,
S102886463,Podilymbus podiceps,Pied-billed Grebe,10,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102265297,Podilymbus podiceps,Pied-billed Grebe,20,4.7325493,-74.1436386,2022-02-05,06:40:00,Traveling,P22,260.0,1.1,3.0,1,7,Bolivia,2.005740896383157,0.875459,0.02114832,-0.001010133,48.48463,33.35813,0.000900595
S207890436,Podilymbus podiceps,Pied-billed Grebe,3,4.7302826,-74.1493195,2022-02-22,08:48:00,Traveling,P22,129.0,0.067,2.0,1,9,Bolivia,2.6738947098168167,0.274554,0.02245791,0.01052155,38.79932,19.76534,0.002189956
S107616653,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S102485427,Podilymbus podiceps,Pied-billed Grebe,6,4.7302826,-74.1493195,2022-02-12,07:48:00,Traveling,P22,107.0,1.01,1.0,1,8,Bolivia,2.6738947098168167,0.361476,0.01761241,0.01058632,60.19544,24.18066,0.001207198
S102151086,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S103705937,Podilymbus podiceps,Pied-billed Grebe,12,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S103696670,Podilymbus podiceps,Pied-billed Grebe,12,4.7302826,-74.1493195,2022-02-25,11:01:00,Traveling,P22,140.0,1.5,5.0,1,11,Bolivia,2.6738947098168167,0.339738,0.01834166,0.01060181,25.70773,18.00084,0.000976288
S102137061,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,145.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S103371602,Podilymbus podiceps,Pied-billed Grebe,4,4.7302826,-74.1493195,2022-02-21,06:25:00,Traveling,P22,60.0,0.129,2.0,1,6,Bolivia,2.6738947098168167,1.715039,0.02457463,-3.4657e-05,38.23554,18.80388,0.002181601
S102966682,Podilymbus podiceps,Pied-billed Grebe,10,4.7299923,-74.1481897,2022-02-18,06:12:00,Traveling,P22,359.0,1.85,2.0,1,6,Bolivia,2.5602050470831275,0.785664,0.02627138,0.001051615,65.26226,33.73281,0.004498623
S102314291,Podilymbus podiceps,Pied-billed Grebe,9,4.7302826,-74.1493195,2022-02-06,07:27:00,Traveling,P22,146.0,0.71,16.0,1,7,Bolivia,2.6738947098168167,0.472689,0.01695357,0.001196449,24.1537,15.24688,0.000562673
S105262261,Podilymbus podiceps,Pied-billed Grebe,2,4.7302826,-74.1493195,2022-02-04,07:00:00,Traveling,P22,90.0,2.0,2.0,1,7,Bolivia,2.6738947098168167,0.819932,0.02127909,0.000131763,104.2865,46.35046,0.008236182
